id,abbr,description,first_appearance,flag,name,num_appearances,gold_2014,silver_2014,bronze_2014,gold_total,silver_total,bronze_total,medal_total,medals_2014
slovakia,SVK,"Slovakia made its debut at the 1994 Olympic Winter Games in Lillehammer. In Norway, the Slovakian men's ice hockey team topped its group with some terrific performances, including a 3-1 win over Canada and a 4-4 tie against Sweden. However, Russia ended Slovakia's charge with a 3-2 win in a quarterfinal match which went into overtime.",1994,http://gtcdn.sochi2014.com/flag/large/svk.png,Slovakia,6,1,0,0,1.0,2.0,1.0,4.0,1
slovenia,SVN,"Slovenia will be aiming to win their first winter Olympic gold at the 2014 Games in Sochi, having come so close in Vancouver four years ago.",1992,http://gtcdn.sochi2014.com/flag/large/slo.png,Slovenia,7,2,1,4,0.0,2.0,5.0,7.0,7
spain,ESP,Spain has only won two medals in winter Olympic competition. Both belong to siblings and were won 20 years apart.,1936,http://gtcdn.sochi2014.com/flag/large/esp.png,Spain,19,0,0,0,1.0,0.0,1.0,2.0,0
sweden,SWE,"Sweden has competed at every Olympic Winter Games, always featuring strongly in the overall medal tally.",1924,http://gtcdn.sochi2014.com/flag/large/swe.png,Sweden,22,2,5,2,51.0,35.0,49.0,135.0,9
switzerland,CHE,"First appearing in 1924, Switzerland has competed at every edition of the Olympic Winter Games and has hosted the Games twice [1928 and 1948], both in St. Moritz.",1924,http://gtcdn.sochi2014.com/flag/large/sui.png,Switzerland,22,6,3,1,44.0,37.0,46.0,127.0,10
tajikistan,TJK,"Alpine skier Andrei Drygin is the only athlete to have represented Tajikistan at the Olympic Winter Games. He made his first appearance in Salt Lake City in 2002, and competed again in 2006 and 2010.",2002,http://gtcdn.sochi2014.com/flag/large/tjk.png,Tajikistan,4,0,0,0,,,,,0
thailand,THA,"Cross-country skier Prawat Nagvajara became the first Thai athlete to compete at the Olympic Winter Games, in 2002 in Salt Lake City. He competed again four years later in Turin, the most recent appearance by a Thai athlete at the Olympic Winter Games.",2002,http://gtcdn.sochi2014.com/flag/large/tha.png,Thailand,3,0,0,0,,,,,0
the_former_yugoslav_republic_of_macedonia,MKD,The NOC representing the former Yugoslav Republic of Macedonia first competed as an independent nation at the Olympic Winter Games in Nagano in 1998.,1998,http://gtcdn.sochi2014.com/flag/large/mkd.png,The Former Yugoslav Republic Of Macedonia,5,0,0,0,,,,,0
timor-leste,TLS,Timor-Leste is making its Olympic Winter Games debut in Sochi,2014,http://gtcdn.sochi2014.com/flag/large/tls.png,Timor-leste,1,0,0,0,,,,,0
togo,TGO,Togo is making its Olympic Winter Games debut in Sochi,2014,http://gtcdn.sochi2014.com/flag/large/tog.png,Togo,1,0,0,0,,,,,0
tonga,TON,Tonga is making its Olympic Winter Games debut in Sochi.,2014,http://gtcdn.sochi2014.com/flag/large/tga.png,Tonga,1,0,0,0,,,,,0
turkey,TUR,"Turkey first competed at the Olympic Winter Games in 1936 and has since missed only the Olympic Winter Games of 1952, 1972, and 1980.",1936,http://gtcdn.sochi2014.com/flag/large/tur.png,Turkey,16,0,0,0,,,,,0
ukraine,UKR,Ukraine first competed as an independent nation in Olympic Winter Games competition in 1994. Sixteen-year-old Oksana Bayul claimed gold just ahead of Nancy Kerrigan in a highly publicised women's individual figure skating final.,1994,http://gtcdn.sochi2014.com/flag/large/ukr.png,Ukraine,6,0,0,1,1.0,1.0,3.0,5.0,1
united_states,USA,"The United States has competed at every edition of the Olympic Winter Games, and has hosted the Games on a record four occasions. The United States collected its greatest gold medal haul at the 2002 Salt Lake City Games, winning 10 gold. Four years ago in Vancouver the US team finished with its biggestoverall medal haul in winter Olympic history, with a total of 37 medals, including nine gold.",1924,http://gtcdn.sochi2014.com/flag/large/usa.png,United States,22,6,5,11,87.0,96.0,73.0,256.0,22
uzbekistan,UZB,"Uzbekistan's first ever Olympic medal, winter or summer, came in Lillehammer in 1994 when Lina Cheryazova claimed gold in women's aerials - the first time the event had been held at the Olympic Winter Games.",1994,http://gtcdn.sochi2014.com/flag/large/uzb.png,Uzbekistan,6,0,0,0,1.0,0.0,0.0,1.0,0
venezuela,VEN,Venezuela made its Olympic Winter Games debut in Nagano in 1998 when luge athlete Iginia Boccalandro competed in the women's singles event. She competed again four years later in Salt Lake City.,1998,http://gtcdn.sochi2014.com/flag/large/ven.png,Venezuela,4,0,0,0,,,,,0
virgin_isl_b,IVB,British Virgin Islands made its first appearance at the Olympic Winter Games in 1984 in Sarajevo. Speed skater Erroll Fraser competed in the men's 500m and 1000m events.,1984,http://gtcdn.sochi2014.com/flag/large/ivb.png,"Virgin Isl, B",2,0,0,0,,,,,0
virgin_isl_us,ISV,"Luge competitor Anne Abernathy became the first woman to qualify for six Olympic Winter Games in 2006, but failed to compete in Turin after breaking her wrist during a practice run.",1984,http://gtcdn.sochi2014.com/flag/large/isv.png,"Virgin Isl, Us",8,0,0,0,,,,,0
zimbabwe,ZWE,Zimbabwe is making its Olympic Winter Games debut in Sochi.,2014,http://gtcdn.sochi2014.com/flag/large/zim.png,Zimbabwe,1,0,0,0,,,,,0
